n tempo

10 4.189600
20 6.473800
30 10.930000
40 12.180700
50 18.731200
60 21.195300
70 26.368500
80 27.906800
90 28.886400
100 33.752500
// o tamanho do vetor varia de 100 em 100
200 76.784200
300 142.848900
400 224.173800
500 233.341900
600 352.082400
700 333.129300
800 352.577900
900 350.015100
1000 395.298800
